FUNC_CFG_ACCESS,01
PIN_CTRL,02
RESERVED,03
S4S_TPH_L,04
S4S_TPH_H,05
S4S_RR,06
FIFO_CTRL1,07
FIFO_CTRL2,08
FIFO_CTRL3,09
FIFO_CTRL4,0A
COUNTER_BDR_REG1,0B
COUNTER_BDR_REG2,0C
INT1_CTRL,0D
INT2_CTRL,0E
WHO_AM_I,0F
CTRL1_XL,10
CTRL2_G,11
CTRL3_C,12
CTRL4_C,13
CTRL5_C,14
CTRL6_C,15
CTRL7_G,16
CTRL8_XL,17
CTRL9_XL,18
CTRL10_C,19
ALL_INT_SRC,1A
WAKE_UP_SRC,1B
TAP_SRC,1C
D6D_SRC,1D
STATUS_REG,1E
RESERVED,1F
OUT_TEMP_L,20
OUT_TEMP_H,21
OUTX_L_G,22
OUTX_H_G,23
OUTY_L_G,24
OUTY_H_G,25
OUTZ_L_G,26
OUTZ_H_G,27
OUTX_L_A,28
OUTX_H_A,29
OUTY_L_A,2A
OUTY_H_A,2B
OUTZ_L_A,2C
OUTZ_H_A,2D
RESERVED,2E
RESERVED,2F
RESERVED,30
RESERVED,31
RESERVED,32
RESERVED,33
RESERVED,34
EMB_FUNC_STATUS_MAINPAGE,35
FSM_STATUS_A_MAINPAGE,36
FSM_STATUS_B_MAINPAGE,37
MLC_STATUS_MAINPAGE,38
STATUS_MASTER_MAINPAGE,39
FIFO_STATUS1,3A
FIFO_STATUS2,3B
RESERVED,3C
RESERVED,3E
RESERVED,3F
TIMESTAMP0,40
TIMESTAMP1,41
TIMESTAMP2,42
TIMESTAMP3,43
RESERVED,44
RESERVED,45
RESERVED,46
RESERVED,47
RESERVED,48
UI_STATUS_REG_OIS,49
UI_OUTX_L_G_OIS,4A
UI_OUTX_H_G_OIS,4B
UI_OUTY_L_G_OIS,4C
UI_OUTY_H_G_OIS,4D
UI_OUTZ_L_G_OIS,4E
UI_OUTZ_H_G_OIS,4F
UI_OUTX_L_A_OIS,50
UI_OUTX_H_A_OIS,51
UI_OUTY_L_A_OIS,52
UI_OUTY_H_A_OIS,53
UI_OUTZ_L_A_OIS,54
UI_OUTZ_H_A_OIS,55
TAP_CFG0,56
TAP_CFG1,57
TAP_CFG2,58
TAP_THS_6D,59
INT_DUR2,5A
WAKE_UP_THS,5B
WAKE_UP_DUR,5C
FREE_FALL,5D
MD1_CFG,5E
MD2_CFG,5F
S4S_ST_CMD_CODE,60
S4S_DT_REG,61
I3C_BUS_AVB,62
INTERNAL_FREQ_FINE,63
RESERVED,64
RESERVED,65
RESERVED,66
RESERVED,67
RESERVED,68
RESERVED,69
RESERVED,6A
RESERVED,6B
RESERVED,6C
RESERVED,6D
RESERVED,6E
UI_INT_OIS,6F
UI_CTRL1_OIS,70
UI_CTRL2_OIS,71
UI_CTRL3_OIS,72
X_OFS_USR,73
Y_OFS_USR,74
Z_OFS_USR,75
RESERVED,76
RESERVED,77
FIFO_DATA_OUT_TAG,78
FIFO_DATA_OUT_X_L,79
FIFO_DATA_OUT_X_H,7A
FIFO_DATA_OUT_Y_L,7B
FIFO_DATA_OUT_Y_H,7C
FIFO_DATA_OUT_Z_L,7D
FIFO_DATA_OUT_X_H,7E
